epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,6890.13,0.51493,0.46203,0.90863,0.39772,0.33458,0.30956,0.26349,0.83202,2.48588,1.12326,3.86256e-05,3.86256e-05,3.86256e-05
78,6979.57,0.52591,0.47701,0.90338,0.43646,0.29502,0.30824,0.26543,0.82733,2.49375,1.10107,3.70812e-05,3.70812e-05,3.70812e-05
79,7068.42,0.49529,0.44773,0.8958,0.35184,0.31819,0.29697,0.2559,0.82881,2.47366,1.09649,3.55368e-05,3.55368e-05,3.55368e-05
80,7157.92,0.50684,0.45181,0.89967,0.37974,0.30952,0.30001,0.24967,0.83848,2.48313,1.11271,3.39924e-05,3.39924e-05,3.39924e-05
81,7247.63,0.49154,0.43692,0.89173,0.41372,0.26952,0.2887,0.24959,0.81829,2.4437,1.09703,3.2448e-05,3.2448e-05,3.2448e-05
82,7336.22,0.50184,0.44406,0.9038,0.47856,0.26641,0.28534,0.25092,0.86277,2.47212,1.1227,3.09036e-05,3.09036e-05,3.09036e-05
83,7425.55,0.47803,0.43034,0.89047,0.45149,0.29062,0.29966,0.26223,0.82752,2.48892,1.08612,2.93592e-05,2.93592e-05,2.93592e-05
84,7514.99,0.49176,0.43654,0.8964,0.3489,0.28737,0.30337,0.26096,0.81511,2.51931,1.1021,2.78148e-05,2.78148e-05,2.78148e-05
85,7605.03,0.48445,0.43136,0.89547,0.43411,0.27253,0.2902,0.24841,0.81799,2.56366,1.10397,2.62704e-05,2.62704e-05,2.62704e-05
86,7694.81,0.48526,0.42806,0.88827,0.36259,0.26758,0.25537,0.22015,0.81942,2.61965,1.0962,2.4726e-05,2.4726e-05,2.4726e-05
87,7783.87,0.48703,0.42566,0.90175,0.3771,0.29557,0.27079,0.23055,0.83816,2.58104,1.11169,2.31816e-05,2.31816e-05,2.31816e-05
88,7873.26,0.47901,0.41916,0.89631,0.41625,0.28674,0.29165,0.24647,0.82603,2.48802,1.11052,2.16372e-05,2.16372e-05,2.16372e-05
89,7963.62,0.46907,0.41392,0.88873,0.40466,0.30551,0.28473,0.24421,0.81627,2.49845,1.09723,2.00928e-05,2.00928e-05,2.00928e-05
90,8053.68,0.478,0.41783,0.8871,0.40591,0.29452,0.28724,0.24561,0.80997,2.47356,1.09208,1.85484e-05,1.85484e-05,1.85484e-05
91,8144.21,0.40425,0.32479,0.82133,0.35061,0.30285,0.27327,0.23212,0.80196,2.54946,1.0769,1.7004e-05,1.7004e-05,1.7004e-05
92,8233.44,0.40394,0.31984,0.82398,0.44521,0.27432,0.27315,0.23261,0.80843,2.53546,1.08423,1.54596e-05,1.54596e-05,1.54596e-05
93,8323,0.40884,0.32042,0.82604,0.39519,0.29067,0.2794,0.2358,0.80996,2.48289,1.10334,1.39152e-05,1.39152e-05,1.39152e-05
94,8412.97,0.39457,0.30345,0.8223,0.43494,0.27337,0.28127,0.23852,0.80978,2.47726,1.1105,1.23708e-05,1.23708e-05,1.23708e-05
95,8502.57,0.39279,0.30335,0.82413,0.3681,0.30453,0.28237,0.23924,0.83011,2.49275,1.11316,1.08264e-05,1.08264e-05,1.08264e-05
96,8591.76,0.39277,0.29976,0.82494,0.39151,0.30683,0.28313,0.23707,0.82766,2.48459,1.1083,9.282e-06,9.282e-06,9.282e-06
97,8681.2,0.39595,0.30395,0.81872,0.43368,0.27507,0.30065,0.25072,0.82621,2.44559,1.11083,7.7376e-06,7.7376e-06,7.7376e-06
98,8771.59,0.38901,0.29783,0.8221,0.43825,0.25114,0.28501,0.23849,0.83346,2.46135,1.1166,6.1932e-06,6.1932e-06,6.1932e-06
99,8860.58,0.38538,0.29347,0.81632,0.36393,0.31713,0.28663,0.24273,0.82919,2.49352,1.11684,4.6488e-06,4.6488e-06,4.6488e-06
100,8949.7,0.38192,0.2875,0.8247,0.35447,0.32664,0.28054,0.23564,0.82391,2.49434,1.11536,3.1044e-06,3.1044e-06,3.1044e-06
