epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,5414.12,0.81148,1.14154,0.96705,0.29869,0.18022,0.1861,0.15868,0.98901,2.87313,1.08477,0.000113066,0.000113066,0.000113066
141,5454.22,0.79835,1.13509,0.96013,0.43514,0.16536,0.18063,0.15272,0.99708,2.91518,1.10177,0.000112757,0.000112757,0.000112757
142,5493.63,0.79012,1.11312,0.95727,0.35076,0.19001,0.17534,0.14575,1.02287,2.87244,1.10828,0.000112448,0.000112448,0.000112448
143,5531.86,0.79515,1.12077,0.96607,0.40992,0.19319,0.20839,0.17443,0.99974,2.88357,1.08189,0.000112139,0.000112139,0.000112139
144,5571.33,0.78398,1.07,0.95685,0.45124,0.17712,0.18715,0.15875,1.00164,2.92813,1.08214,0.00011183,0.00011183,0.00011183
145,5608.46,0.78762,1.09657,0.96162,0.38056,0.16994,0.17986,0.1492,1.01332,2.99966,1.10093,0.000111521,0.000111521,0.000111521
146,5646.42,0.7807,1.08507,0.95425,0.54125,0.14632,0.20599,0.17446,1.01544,2.90462,1.10028,0.000111212,0.000111212,0.000111212
147,5683.71,0.79875,1.08903,0.95381,0.38448,0.18256,0.20298,0.16993,1.01805,2.82072,1.10175,0.000110904,0.000110904,0.000110904
148,5722.66,0.78582,1.0628,0.95804,0.25409,0.24004,0.20288,0.17039,1.02227,2.91678,1.09677,0.000110595,0.000110595,0.000110595
149,5761.81,0.77439,1.04541,0.95162,0.29754,0.23751,0.19947,0.16843,1.0251,2.92363,1.09183,0.000110286,0.000110286,0.000110286
150,5800.39,0.78594,1.06848,0.95663,0.46611,0.15879,0.19469,0.16222,1.00609,2.86017,1.0854,0.000109977,0.000109977,0.000109977
151,5839.75,0.76631,1.03943,0.95802,0.48505,0.16248,0.20285,0.1692,1.0168,2.83395,1.09999,0.000109668,0.000109668,0.000109668
152,5878.3,0.80121,1.10869,0.97021,0.34526,0.19229,0.20781,0.17141,0.99471,2.88562,1.08733,0.000109359,0.000109359,0.000109359
153,5916.78,0.77024,1.02875,0.95102,0.3227,0.2214,0.21688,0.17873,1.04123,2.96434,1.10364,0.00010905,0.00010905,0.00010905
154,5955.57,0.76548,1.03378,0.95445,0.28113,0.23996,0.20875,0.17413,1.0308,2.8832,1.10136,0.000108741,0.000108741,0.000108741
155,5994.31,0.77081,1.06301,0.95592,0.2724,0.2004,0.19165,0.15409,1.03833,2.92666,1.09975,0.000108432,0.000108432,0.000108432
156,6032.8,0.78442,1.0495,0.96194,0.18916,0.23482,0.19502,0.16136,1.00608,2.92027,1.08825,0.000108124,0.000108124,0.000108124
157,6072.05,0.76669,1.02316,0.95709,0.29031,0.18789,0.20304,0.1689,1.00987,2.86708,1.08886,0.000107815,0.000107815,0.000107815
158,6111.61,0.78506,1.05116,0.95993,0.34656,0.18169,0.1974,0.164,1.00619,2.86774,1.07915,0.000107506,0.000107506,0.000107506
159,6152.3,0.7801,1.03062,0.95323,0.24089,0.23877,0.18563,0.1534,1.00596,3.00984,1.08216,0.000107197,0.000107197,0.000107197
160,6192.38,0.77202,1.00894,0.95516,0.41001,0.1764,0.16926,0.13861,0.99941,2.94058,1.08154,0.000106888,0.000106888,0.000106888
161,6232.57,0.79768,1.0436,0.96296,0.31427,0.21519,0.18081,0.14978,1.01603,2.94369,1.10026,0.000106579,0.000106579,0.000106579
162,6273.15,0.75248,1.00514,0.94274,0.4234,0.18183,0.17349,0.14274,1.02485,2.95724,1.08299,0.00010627,0.00010627,0.00010627
163,6313.08,0.75422,0.96327,0.94419,0.47636,0.18566,0.20077,0.16852,1.02501,2.93513,1.08947,0.000105961,0.000105961,0.000105961
164,6352.84,0.767,0.98294,0.94679,0.44984,0.18535,0.18801,0.15409,1.02579,2.9411,1.10509,0.000105653,0.000105653,0.000105653
165,6393.36,0.77499,1.01039,0.95998,0.34678,0.23473,0.19762,0.16441,1.02266,2.90439,1.09438,0.000105344,0.000105344,0.000105344
166,6432.95,0.75607,0.99466,0.95413,0.35204,0.19056,0.21406,0.17799,1.02535,2.94106,1.09856,0.000105035,0.000105035,0.000105035
167,6471.63,0.75883,0.99248,0.94884,0.548,0.143,0.19993,0.15862,1.02583,2.96068,1.09328,0.000104726,0.000104726,0.000104726
168,6509.89,0.74381,0.96089,0.9439,0.36715,0.18714,0.19672,0.16083,1.02098,2.92477,1.09007,0.000104417,0.000104417,0.000104417
169,6548.97,0.7771,1.00307,0.96045,0.38155,0.1811,0.2045,0.16967,0.98956,2.90528,1.07919,0.000104108,0.000104108,0.000104108
170,6587.2,0.75207,0.96665,0.94597,0.39756,0.18793,0.20384,0.16936,1.01962,2.93242,1.08283,0.000103799,0.000103799,0.000103799
171,6624.84,0.77747,1.00919,0.95334,0.4187,0.16445,0.1968,0.16469,1.01564,2.94471,1.08735,0.00010349,0.00010349,0.00010349
172,6663.5,0.76876,0.98607,0.94657,0.28009,0.21574,0.19297,0.16275,0.99825,2.94136,1.07622,0.000103182,0.000103182,0.000103182
173,6702.98,0.75368,0.9721,0.94335,0.39849,0.19104,0.2033,0.16873,1.02154,2.96303,1.08946,0.000102873,0.000102873,0.000102873
174,6742.71,0.76588,0.95685,0.948,0.47366,0.15304,0.20342,0.17002,1.01993,2.94151,1.0958,0.000102564,0.000102564,0.000102564
175,6781.85,0.764,0.9782,0.94501,0.49192,0.19419,0.21892,0.18206,1.02481,2.90549,1.11107,0.000102255,0.000102255,0.000102255
176,6820.88,0.76019,0.95078,0.94425,0.2869,0.19597,0.19928,0.16786,0.99333,2.91209,1.07409,0.000101946,0.000101946,0.000101946
